,author,description,publishedAt,source,title,url,urlToImage
0,Express Web Desk,"Battling a lower back strain, MS Dhoni led CSK's chase from the front but could not carry his team over the finishing line on Sunday.",2018-04-15T20:42:47Z,"{'id': None, 'name': 'Indianexpress.com'}","IPL 2018: Chris Gayle’s innings and Mujeeb Ur Rahman’s bowling made the difference, says MS Dhoni",http://indianexpress.com/article/sports/ipl/ipl-2018-chris-gayles-innings-and-mujeeb-ur-rahmans-bowling-made-the-difference-says-ms-dhoni-5138785/,http://images.indianexpress.com/2018/04/kxipvcsk-ipl759.jpg?w=759
1,,Senior Inspector Vilas Gangawne said the incident took place on Saturday evening at an IPL match between Mumbai Indians and Delhi Daredevils.,2018-04-15T20:29:36Z,"{'id': None, 'name': 'Indianexpress.com'}",Man held for ‘molesting’ woman at IPL match,http://indianexpress.com/article/cities/mumbai/man-held-for-molesting-woman-at-ipl-match-5138778/,http://images.indianexpress.com/2018/03/man-getting-arrested.jpg?w=759
2,,"Chasing Punjabâs total of 197 for eight, Dhoni plundered 79 not out off 44 balls for his best IPL score but Chennai fell short at 193 for five. The victory propelled Punjab to the second spot in the IPL11 standings behind Sunrisers Hyderabad who have won al…",2018-04-15T19:50:55Z,"{'id': None, 'name': 'Moneycontrol.com'}",IPL 2018 CSK vs KXIP: Punjab eke out 4-run win despite Dhoniâs heroics,https://www.moneycontrol.com/news/cricket/ipl-2018-csk-vs-kxip-punjab-eke-out-4-run-win-despite-dhonis-heroics-2549449.html,https://static-news.moneycontrol.com/static-mcnews/2018/04/IPL_Holding-images_7-4-Copy-770x433.jpg
3,Express Web Desk,MS Dhoni rolled back the years to produce a brilliant exhibition of batting but it wasn't enough as Kings XI Punjab emerged victorious against Chennai Super Kings in a tense finish on Sunday.,2018-04-15T19:44:25Z,"{'id': None, 'name': 'Indianexpress.com'}","IPL 2018: MS Dhoni dusts up old finisher garb, but endures a near miss against KXIP",http://indianexpress.com/article/sports/ipl/ipl-2018-ms-dhoni-dusts-up-old-finisher-garb-but-endures-a-near-miss-against-kxip-csk-5138705/,http://images.indianexpress.com/2018/04/kxip-vs-csk-ipl759.jpg?w=759
4,Express News Service,Pint-sized dynamite explodes after Ajinkya Rahane starts the fire. Virat Kohli paints a picture in a losing chase.,2018-04-15T19:37:23Z,"{'id': None, 'name': 'Indianexpress.com'}","IPL 2018, RCB vs RR: Sanju Samson puts his head down and tears hosts apart",http://indianexpress.com/article/sports/ipl/ipl-2018-rcb-sanju-samson-virat-5138738/,http://images.indianexpress.com/2018/04/samson-m1.jpg?w=759
5,Special Correspondent,Established parties say staging flash protests won’t help take a campaign forward,2018-04-15T19:30:24Z,"{'id': 'the-hindu', 'name': 'The Hindu'}",Sceptics in the mainstream,http://www.thehindu.com/news/national/tamil-nadu/sceptics-in-the-mainstream/article23551205.ece,http://www.thehindu.com/static/theme/default/base/img/og-image.jpg
6,B. Kolappan,The State is witnessing a unique foregrounding of formerly marginal political parties and groups,2018-04-15T19:29:31Z,"{'id': 'the-hindu', 'name': 'The Hindu'}","From the fringes, a new political power play",http://www.thehindu.com/news/national/tamil-nadu/from-the-fringes-a-new-political-power-play/article23551195.ece,http://www.thehindu.com/news/national/tamil-nadu/article23551194.ece/ALTERNATES/LANDSCAPE_615/IPLPROTESTS
7,Gianni Verschueren,"Rajasthan Royals (217/4) became the first team to successfully defend a score in a full match in the 2018 Indian Premier League, beating Royal Challengers Bangalore (198/6) by 19 runs...",2018-04-15T19:29:13Z,"{'id': 'bleacher-report', 'name': 'Bleacher Report'}","IPL Results 2018: Scores, Points Table and Schedule After April 15",http://bleacherreport.com/articles/2770651-ipl-results-2018-scores-points-table-and-schedule-after-april-15,https://img.bleacherreport.net/img/images/photos/003/735/838/hi-res-9d8d393ebb8295aebad4fe937cf82b03_crop_exact.jpg?w=1200&h=1200&q=75
8,महाराष्ट्र टाइम्स.कॉम,किंग्ज इलेव्हन पंजाबनं रोमहर्षक लढतीत चेन्नई सुपर किंग्जवर अवघ्या ४ धावांनी विजय मिळवला. कर्णधार महेंद्रसिंग धोनीनं नाबाद ७९ धावांची तडाखेबंद खेळी केली. पण चेन्नईला विजय मिळवून देण्यात तो अपयशी ठरला. अखेरच्या षटकांत चेन्नईला विजयासाठी १७ धावांची गरज होती. धोन…,2018-04-15T19:24:40Z,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",IPL: घरच्या मैदानात पंजाबच 'किंग'; चेन्नईवर सुपर विजय,https://maharashtratimes.indiatimes.com/sports-news/cricket/iplt20/news/ipl-2018-kxip-vs-csk-kings-xi-punjab-beat-chennai-super-kings-by-4-runs/articleshow/63776400.cms,"https://maharashtratimes.indiatimes.com/thumb/msid-63776408,width-473,resizemode-4/sports-news/cricket/iplt20/news/ipl-2018-kxip-vs-csk-kings-xi-punjab-beat-chennai-super-kings-by-4-runs.jpg"
9,Express Web Desk,Gautam Gambhir will make a return to Eden Gardens as he leads Delhi Daredevils against Kolkata Knight Riders on Monday.,2018-04-15T19:13:30Z,"{'id': None, 'name': 'Indianexpress.com'}",IPL 2018 KKR vs DD Preview: Gautam Gambhir returns to Eden Gardens,http://indianexpress.com/article/sports/ipl/ipl-2018-kkr-vs-dd-preview-gautam-gambhir-5138675/,http://images.indianexpress.com/2018/04/dd-m.jpg?w=759
